ID,Name of Item,Pickup,Quality,Description,Type,Item Pool
ItemID: 42,Bob's Rotten Head,"""Reusable ranged bomb""",Quality: 1,A poison bomb which can be thrown and leaves a poison effect on any enemies within the blast radius. It also leaves a gas cloud at the place where it exploded,Type: Active,"Item Pool: Item Room, Sloth Miniboss"
ItemID: 44,Teleport,"""Teleport!""",Quality: 0,Teleports Isaac to a random location on the map,Type: Active,Item Pool: Item Room
ItemID: 45,Yum Heart,"""Reusable regeneration""",Quality: 1,Heals Isaac for one whole red heart,Type: Active,"Item Pool: Item Room, Super Lust Miniboss"
ItemID: 46,Lucky Foot,"""Luck up""",Quality: 2,+1.0 Luck Up,Type: Passive,"Item Pool: Item Room, Beggar"
ItemID: 47,Doctor's Remote,"""Reusable air strike""",Quality: 1,A target is placed on the floor which can be controlled. After a few seconds a huge missile hits the target and deals 20x your tear damage to anything nearby,Type: Active,Item Pool: Item Room
ItemID: 48,Cupid's Arrow,"""Piercing shots""",Quality: 3,Isaac's tears now have a piercing effect which allows them to travel through enemies instead of breaking on hit,Type: Passive,Item Pool: Item Room
ItemID: 49,Shoop Da Whoop!,"""BLLLARRRRGGG!""",Quality: 2,"When used, fires a high damage laser in a straight line across the room in a similar way to Brimstone",Type: Active,"Item Pool: Item Room, Envy Miniboss, Super Envy Miniboss"
ItemID: 50,Steven,"""DMG up""",Quality: 3,+1 Damage Up,Type: Passive,Item Pool: Steven Boss
ItemID: 51,Pentagram,"""DMG up""",Quality: 3,+1.0 Damage Up,Type: Passive,"Item Pool: Boss Room, Curse Room, Devil Room, Demon Beggar, Crane Game"
ItemID: 52,Dr. Fetus,"""???""",Quality: 4,"Instead of tears, Isaac now shoots bombs from his eyes, which explode dealing damage to anything nearby","Type: Passive, Tear Modifier",Item Pool: Item Room
ItemID: 53,Magneto,"""Item snatcher""",Quality: 1,Causes pickups on the floor move towards the player,Type: Passive,Item Pool: Item Room
ItemID: 54,Treasure Map,"""Full visible map""",Quality: 2,Reveals the entire map for every floor except the secret room locations,Type: Passive,"Item Pool: Shop, Beggar"
ItemID: 55,Mom's Eye,"""Eye in the back of your head""",Quality: 1,Isaac has a random chance to fire another tear out the back of his head,"Type: Passive, Tear Modifier","Item Pool: Item Room, Challenge Room"
ItemID: 56,Lemon Mishap,"""Oops...""",Quality: 1,"When used, drops a pool of 'lemonade' on the floor which damages any enemies that come into contact with it for 8 damage per tick",Type: Active,Item Pool: Item Room
ItemID: 57,Distant Admiration,"""Attack fly""",Quality: 2,Gives Isaac an orbiting fly which deals 5 contact damage to enemies per tick,"Type: Passive, Orbital","Item Pool: Item Room, Key Beggar"
ItemID: 58,Book of Shadows,"""Temporary invincibility""",Quality: 3,Gives the player an invulnerability effect which lasts for a 10 seconds,Type: Active,"Item Pool: Item Room, Library"
ItemID: 60,The Ladder,"""Building bridges""",Quality: 1,Allows Isaac to walk over gaps with a width of one tile,Type: Passive,Item Pool: Shop
ItemID: 62,Charm of the Vampire,"""Kills heal""",Quality: 1,+0.3 Damage Up,Type: Passive,Item Pool: Item Room
ItemID: 63,The Battery,"""Stores energy""",Quality: 2,"All spacebar items can now be 'overcharged', allowing them to be charged up twice instead of once",Type: Passive,Item Pool: Shop
ItemID: 64,Steam Sale,"""50% off""",Quality: 2,Items in the shop are now -50% off,Type: Passive,"Item Pool: Shop, Greed Miniboss, Shopkeeper"
ItemID: 65,Anarchist Cookbook,"""Summon bombs""",Quality: 1,Spawns 6 troll bombs at random locations around the room,Type: Active,"Item Pool: Item Room, Library, Pride Miniboss"
ItemID: 66,The Hourglass,"""Temporary enemy slowdown""",Quality: 1,"When used, slows down all enemies in the current room and their projectiles for about 8 seconds",Type: Active,Item Pool: Item Room
ItemID: 67,Sister Maggy,"""Friends 'till the end""",Quality: 1,A familiar which follows Isaac around and shoots blood tears that deal 5 damage,"Type: Passive, Familiar","Item Pool: Item Room, Devil Room"
ItemID: 68,Technology,"""Laser tears""",Quality: 3,Isaac's tears are replaced with a laser that has unlimited range and can only fire at right angles,"Type: Passive, Tear Modifier",Item Pool: Item Room
ItemID: 69,Chocolate Milk,"""Charge shots""",Quality: 3,Isaac can now charge shots for more damage by holding down the fire button,"Type: Passive, Tear Modifier",Item Pool: Item Room
ItemID: 70,Growth Hormones,"""DMG up + speed up""",Quality: 3,+1.0 Damage Up,Type: Passive,"Item Pool: Boss Room, Demon Beggar"
ItemID: 71,Mini Mush,"""Speed + range up""",Quality: 2,+0.3 Speed Up,Type: Passive,Item Pool: Item Room
ItemID: 72,Rosary,"""Faith up""",Quality: 2,+3 Soul Hearts,Type: Passive,"Item Pool: Item Room, Angel Room"
ItemID: 73,Cube of Meat,"""Gotta meat em all""",Quality: 2,An orbital which blocks shots and damages enemies it comes into contact with for 7 damage per tick,Type: Passive,"Item Pool: One of the Horsemen Bosses (Famine, Pestilence, War, Death)"
ItemID: 74,A Quarter,"""+25 coins""",Quality: 1,+25 Coins,Type: Passive,"Item Pool: Devil Room, Gold Chest, Super Greed Miniboss"
ItemID: 75,PhD,"""Better pills""",Quality: 2,"Converts most negative pills into their positive counterparts, e.g. Stat Down becomes Stat Up. Bad Trip becomes Balls of Steel. Amnesia becomes I Can See Forever etc",Type: Passive,"Item Pool: Item Room, Shop"
ItemID: 76,X-Ray Vision,"""I've seen everything""",Quality: 2,"Reveals the entrance to secret rooms and automatically opens the hole, removing the need for bombs to enter",Type: Passive,Item Pool: Item Room
ItemID: 77,My Little Unicorn,"""Temporary badass""",Quality: 1,Gives Isaac invincibility and +0.28 Speed for 6 seconds,Type: Active,Item Pool: Item Room
ItemID: 78,Book of Revelations,"""Reusable soul protection""",Quality: 3,"Upon use, gives Isaac an extra Soul heart",Type: Active,"Item Pool: Item Room, Library"
ItemID: 79,The Mark,"""DMG up""",Quality: 3,+1.0 Damage Up,Type: Passive,"Item Pool: Curse Room, Devil Room, Demon Beggar"
ItemID: 80,The Pact,"""DMG + tears up""",Quality: 3,+0.5 Damage Up,Type: Passive,"Item Pool: Devil Room, Curse Room, Demon Beggar"
ItemID: 81,Dead Cat,"""9 lives""",Quality: 3,Isaac's health is set to 1 and he also gains 9 extra lives,Type: Passive,"Item Pool: Devil Room, Curse Room, Red Chest, Super Pride Miniboss"
ItemID: 82,Lord of the Pit,"""Demon wings""",Quality: 3,Gives Isaac demon wings and the ability to fly,Type: Passive,"Item Pool: Devil Room, Demon Beggar"
ItemID: 83,The Nail,"""Temporary demon form""",Quality: 3,"Each use of this item gives +0.7 Damage Up, -0.18 Speed Down and the ability to destroy most obstacles for the current room.",Type: Active,"Item Pool: Devil Room, Demon Beggar"
ItemID: 84,We Need To Go Deeper,"""Reusable level skip""",Quality: 0,Spawns a trapdoor at Isaac's feet which allows him to travel to the next floor,Type: Active,"Item Pool: Secret Room, Devil Room"
ItemID: 85,Deck of Cards,"""Reusable card generator""",Quality: 2,Gives Isaac a random tarot card on use,Type: Active,"Item Pool: Item Room, Shop"
ItemID: 86,Monstro's Tooth,"""Summon monstro""",Quality: 1,"When used, spawns a Monstro which will jump on a random enemy in the room, dealing 120 damage and destroying nearby obstacles",Type: Active,Item Pool: Item Room
ItemID: 87,Loki's Horns,"""Cross tears""",Quality: 1,"Everytime you fire a tear, there is a chance that you will also fire three more tears in all cardinal directions","Type: Passive, Tear Modifier","Item Pool: Item Room, Demon Beggar"
ItemID: 88,Little Chubby,"""Attack buddy""",Quality: 1,"A familiar that follows Isaac and charges forwards, dealing 3.5 damage per tick to any enemies it comes into contact with","Type: Passive, Familiar",Item Pool: Item Room
ItemID: 89,Spider Bite,"""Slow effect""",Quality: 2,Tears now have a chance of slowing enemies and their projectiles for 2.5 seconds,Type: Passive,Item Pool: Item Room
ItemID: 90,The Small Rock,"""DMG up""",Quality: 3,+1.0 Damage Up,Type: Passive,Item Pool: Tinted Rock
ItemID: 91,Spelunker Hat,"""See-through doors""",Quality: 2,"Reveals adjacent rooms up to 2 rooms away, this includes revealing if you're next to a Secret Room or Super Secret Rooms",Type: Passive,Item Pool: Item Room
ItemID: 92,Super Bandage,"""+2 hearts""",Quality: 2,+1 HP Up,Type: Passive,"Item Pool: Item Room, Boss Room"
ItemID: 93,The Gamekid,"""Temporary Man-Pac""",Quality: 2,"When used Isaac transforms into pacman, which makes him invincible for 6 seconds and does 40 contact damage to enemies per chomp",Type: Active,Item Pool: Item Room
ItemID: 94,Sack of Pennies,"""Gives money""",Quality: 1,A bag that floats around following Isaac and drops a random coin every 2 rooms,"Type: Passive, Familiar",Item Pool: Item Room
ItemID: 95,Robo-Baby,"""Friends till the bzzzttt""",Quality: 1,"A familiar which follows Isaac and shoots lasers, similar to the Technology item","Type: Passive, Familiar",Item Pool: Item Room
ItemID: 96,Little C.H.A.D,"""Gives kisses""",Quality: 2,A familiar which follows Isaac and drops half a red heart every 3 rooms,"Type: Passive, Familiar","Item Pool: Item Room, C.H.A.D. Boss"
ItemID: 97,The Book of Sin,"""Reusable item generator""",Quality: 2,Spawns a random pickup on the floor,Type: Active,"Item Pool: Item Room, Library, Devil Room"
ItemID: 98,The Relic,"""Soul generator""",Quality: 4,A blue cross that follows Isaac and drops a soul heart every 7-8 rooms,"Type: Passive, Familiar","Item Pool: Item Room, Angel Room"
ItemID: 99,Little Gish,"""Sticky friend""",Quality: 2,"A familiar that follows Isaac and fires black tar tears, which slow enemy movement and projectile speed for a few seconds","Type: Passive, Familiar","Item Pool: Item Room, Gish Boss"
ItemID: 100,Little Steven,"""Psychic friend""",Quality: 1,A familiar that follows Isaac and fires homing tears that deal 3.5 damage each,"Type: Passive, Familiar","Item Pool: Item Room, Steven Boss"
ItemID: 101,The Halo,"""All stats up""",Quality: 2,+1 HP Up,Type: Passive,"Item Pool: Item Room, Angel Room"
ItemID: 102,Mom's Bottle of Pills,"""Reusable pill generator""",Quality: 1,"When used, gives Isaac a random pill",Type: Active,"Item Pool: Item Room, Shop, Challenge Room, Beggar, Demon Beggar"
ItemID: 103,The Common Cold,"""Poison damage""",Quality: 1,"Tears now have a random chance to apply a poison effect, causing double your tear damage per tick to enemies over time",Type: Passive,Item Pool: Item Room
ItemID: 104,The Parasite,"""Split shot""",Quality: 3,Isaac's tears now split into two upon contact with enemies or the environment,Type: Passive,Item Pool: Item Room
ItemID: 105,The D6,"""Reroll your destiny""",Quality: 4,"When used, replaces all pedestal items in the current room with another random item. Re-rolled items pick from the current room's item pool",Type: Active,Item Pool: Item Room
ItemID: 106,Mr. Mega,"""Blast damage""",Quality: 2,+5 Bombs,Type: Passive,"Item Pool: Item Room, Bomb Beggar, Super Wrath Miniboss"
ItemID: 107,Pinking Shears,"""Cut and run""",Quality: 2,"Cuts Isaac's head from his body for the current room, allowing him to fly and leaving the decapitated body to run around attacking enemies for 5.5 damage per tick",Type: Active,Item Pool: Item Room
ItemID: 108,The Wafer,"""Damage resistance""",Quality: 4,All damage taken is reduced to half a heart,Type: Passive,"Item Pool: Item Room, Angel Room"
ItemID: 109,Money = Power,"""$$$ = DMG""",Quality: 3,+0.04 Damage Up for every coin you currently have,Type: Passive,"Item Pool: Item Room, Devil Room"
ItemID: 110,Mom's Contacts,"""Freeze effect""",Quality: 3,Tears now have a random chance to freeze enemies in place,Type: Passive,"Item Pool: Item Room, Challenge Room"
ItemID: 111,The Bean,"""Toot on command""",Quality: 0,"Upon use, this item causes Isaac to fart and poison any enemies in close proximity",Type: Active,"Item Pool: Item Room, Beggar"
ItemID: 112,Guardian Angel,"""Extra protection""",Quality: 2,"An orbital which does 7 contact damage per tick, blocks shots and increases the speed of all other orbitals","Type: Passive, Orbital",Item Pool: Angel Room
ItemID: 113,Demon Baby,"""Auto-turret friend""",Quality: 2,A familiar which follows Isaac and automatically fires tears that deal 3 damage each at any enemies in close range,"Type: Passive, Familiar","Item Pool: Item Room, Devil Room"
ItemID: 114,Mom's Knife,"""Stab stab stab""",Quality: 4,Tears are replaced with a knife which can be charged and thrown in a boomerang style action,"Type: Passive, Tear Modifier","Item Pool: Item Room, Devil Room, Challenge Room"
ItemID: 115,Ouija Board,"""Spectral tears""",Quality: 2,Gives Isaac spectral tears which allows them to travel through objects in the environment (i.e. rocks),Type: Passive,"Item Pool: Item Room, Devil Room"
ItemID: 116,9 Volt,"""Quicker charge""",Quality: 2,Automatically gives you 1 bar of charge after using your spacebar item,Type: Passive,Item Pool: Shop
ItemID: 117,Dead Bird,"""Protective buddy""",Quality: 0,"When Isaac takes damage, the dead bird will spawn and attack nearby enemies in the current room for 2 damage per tick","Type: Passive, Familiar",Item Pool: Item Room
ItemID: 118,Brimstone,"""Blood laser barrage""",Quality: 4,"Tears are replaced with the ability to charge and fire a powerful laser that travels in a straight line across the room, dealing a lot of damage (tear damage hits for 9 ticks per laser) to any enemies it comes into contact with","Type: Passive, Tear Modifier",Item Pool: Devil Room
ItemID: 119,Blood Bag,"""HP up""",Quality: 2,+1 HP Up,Type: Passive,Item Pool: Blood Donation Machine
ItemID: 120,Odd Mushroom (Thin),"""Fire rate up""",Quality: 2,Gives you a high rate of fire in exchange for a damage down,Type: Passive,"Item Pool: Item Room, Secret Room"
ItemID: 121,Odd Mushroom (Large),"""DMG up""",Quality: 2,+1 HP Up,Type: Passive,"Item Pool: Item Room, Secret Room"
ItemID: 122,Whore of Babylon,"""Curse up""",Quality: 2,"When you only have half a red heart remaining or less, you enter a curse state which adds +1.5 damage and +0.3 speed",Type: Passive,"Item Pool: Devil Room, Demon Beggar"
ItemID: 123,Monster Manual,"""Temporary buddy generator""",Quality: 1,"When used, gives a random familiar for the entire floor",Type: Active,"Item Pool: Item Room, Devil Room, Library"
ItemID: 124,Dead Sea Scrolls,"""It's a mystery""",Quality: 1,"Upon use, the dead sea scrolls gives a random spacebar item effect",Type: Active,"Item Pool: Item Room, Angel Room"
ItemID: 125,Bobby - Bomb,"""Friends till the end""",Quality: 2,+5 Bombs,Type: Passive,"Item Pool: Item Room, Bomb Beggar"
ItemID: 126,Razor Blade,"""Feel my pain""",Quality: 0,"When used, deals damage to Isaac in exchange for +1.2 damage up which lasts for the current room",Type: Active,"Item Pool: Devil Room, Demon Beggar"
ItemID: 127,Forget Me Now,"""I don't remember...""",Quality: 3,"Upon use, this item refreshes the current floor with brand new rooms, monsters and items, as if you had entered a new floor",Type: Active,"Item Pool: Item Room, Secret Room, Devil Room, Demon Beggar"
ItemID: 128,Forever Alone,"""Attack fly""",Quality: 1,An orbiting fly which deals 2 contact damage per tick to enemies,"Type: Passive, Orbital",Item Pool: Item Room
ItemID: 129,Bucket of Lard,"""HP up""",Quality: 1,+2 Health Up,Type: Passive,"Item Pool: Item Room, Super Gluttony Miniboss"
ItemID: 130,A Pony,"""Flight + dash attack""",Quality: 2,Allows Isaac to fly while the Pony is held,Type: Active,Item Pool: Headless Horseman Boss
ItemID: 131,Bomb Bag,"""Gives bombs""",Quality: 2,A bag of bombs that will drop a bomb pickup every 2 rooms,"Type: Passive, Familiar",Item Pool: Item Room
ItemID: 132,A Lump of Coal,"""My Xmas present""",Quality: 3,Tears gain a damage up and increase in size based on the distance they travel,Type: Passive,Item Pool: Krampus Boss
ItemID: 133,Guppy's Paw,"""Soul converter""",Quality: 3,"When used, removes one heart container and gives you 3 soul hearts",Type: Active,"Item Pool: Devil Room, Curse Room, Red Chest"
ItemID: 134,Guppy's Tail,"""Cursed?""",Quality: 2,"Gives a 1/3 chance for room clear rewards to become a normal or locked chest, and a 1/3 chance to reward nothing at all",Type: Passive,"Item Pool: Devil Room, Curse Room, Red Chest"
ItemID: 135,IV Bag,"""Portable blood bank""",Quality: 1,"Upon use, the IV Bag takes half a red heart and spawns 1-3 coins (the same effect as a blood donation machine)",Type: Active,Item Pool: Blood Donation Machine
ItemID: 136,Best Friend,"""Friends 'till the end""",Quality: 1,Places a decoy on the floor which attracts enemies and explodes after a period of time,Type: Active,Item Pool: Item Room
ItemID: 137,Remote Detonator,"""Remote bomb detonation""",Quality: 1,+5 Bombs,Type: Active,"Item Pool: Item Room, Shop, Bomb Beggar"
ItemID: 138,Stigmata,"""DMG + HP up""",Quality: 2,+1 HP Up,Type: Passive,Item Pool: Item Room
ItemID: 139,Mom's Purse,"""More trinket room""",Quality: 3,Isaac can now hold two trinkets at the same time,Type: Passive,Item Pool: Shop
ItemID: 140,Bob's Curse,"""Poison bombs""",Quality: 1,All of Isaac's bombs now leave a poison effect on any enemies within the blast radius,Type: Passive,"Item Pool: Item Room, Super Sloth Miniboss, Bomb Beggar"
ItemID: 141,Pageant Boy,"""Ultimate grand supreme""",Quality: 0,Spawns 7 random coins around Isaac on the floor,Type: Passive,Item Pool: Boss Room
ItemID: 142,Scapular,"""You have been blessed""",Quality: 2,"Once per room when you are damaged down to your final half a heart, you gain 1 soul heart",Type: Passive,"Item Pool: Item Room, Angel Room"
ItemID: 143,Speed Ball,"""Speed + shot speed up""",Quality: 2,+0.3 Speed Up,Type: Passive,"Item Pool: Item Room, Boss Room, Demon Beggar"
ItemID: 144,Bum Friend,"""He's Greedy""",Quality: 0,A beggar who follows Isaac around and automatically picks up nearby coins,"Type: Passive, Familiar",Item Pool: Item Room
ItemID: 145,Guppy's Head,"""Reusable fly hive""",Quality: 3,"When used, spawns between 2-4 blue flies",Type: Active,"Item Pool: Devil Room, Curse Room, Red Chest, Gold/Stone Chest"
ItemID: 146,Prayer Card,"""Reusable eternity""",Quality: 3,Gives Isaac an eternal heart when used,Type: Active,"Item Pool: Item Room, Angel Room"
ItemID: 147,Notched Axe,"""Rocks didn't stand a chance""",Quality: 1,"When activated, Isaac takes out the axe and gives you the ability to break rocks and damage enemies with it",Type: Active,"Item Pool: Shop, Crane Game"
ItemID: 148,Infestation,"""Fly revenge""",Quality: 0,"When Isaac gets hit, 2-6 blue flies will randomly spawn",Type: Passive,Item Pool: Item Room
ItemID: 149,Ipecac,"""Explosive shots""",Quality: 4,"Isaac's tears are replaced with explosive poison bombs, which will arc upwards and explode on contact with the floor, dealing huge damage and leaving a poison effect on enemies in range","Type: Passive, Tear Modifier",Item Pool: Item Room
ItemID: 150,Tough Love,"""Tooth shot""",Quality: 3,Isaac has a random chance to fire a tooth shot instead of a tear sometimes,Type: Passive,Item Pool: Item Room
ItemID: 151,The Mulligan,"""They grow inside""",Quality: 3,Isaac has a 1/6 chance to spawn a blue fly when one of his tears hits an enemy,Type: Passive,Item Pool: Item Room
ItemID: 152,Technology 2,"""Laser""",Quality: 2,Isaac now also has a laser with unlimited range which fires continuously. Tears continue to fire from your left eye,"Type: Passive, Tear Modifier",Item Pool: Item Room
ItemID: 153,Mutant Spider,"""Quad Shot""",Quality: 3,Tears now shoot 4 at a time (Quad Shot),"Type: Passive, Tear Modifier",Item Pool: Item Room
ItemID: 154,Chemical Peel,"""DMG up""",Quality: 2,+2 Damage Up for tears fired from Isaac's left eye,Type: Passive,Item Pool: Item Room
ItemID: 155,The Peeper,"""Plop!""",Quality: 2,Gives Isaac an eye companion that floats around the room and deals 8 damage per tick on contact with enemies,"Type: Passive, Familiar",Item Pool: Item Room
ItemID: 156,Habit,"""Item martyr""",Quality: 2,"When you take damage, this item recharges one room's worth of charge to your spacebar item",Type: Passive,"Item Pool: Shop, Angel Room"
ItemID: 157,Bloody Lust,"""RAGE!""",Quality: 3,"Each time you take damage, you gain a damage up which lasts for the rest of the floor and turn a darker red colour each time",Type: Passive,"Item Pool: Item Room, Devil Room"
ItemID: 158,Crystal Ball,"""I see my future""",Quality: 3,"Upon use, reveals the map and drops either a soul heart or a random card/rune (50% chance for each)",Type: Active,Item Pool: None (Fortune machine only)
ItemID: 159,Spirit of the Night,"""Scary""",Quality: 3,Gives Isaac the ability to fly and spectral tears,Type: Passive,"Item Pool: Devil Room, Demon Beggar"
ItemID: 160,Crack The Sky,"""Holy white death""",Quality: 2,Creates 5 beams of light from the sky that deal damage equal to your tear damage + 20 to any enemies which come into contact with them,Type: Active,Item Pool: Item Room
ItemID: 161,Ankh,"""Eternal life?""",Quality: 1,"Upon death, you respawn in the previous room as Blue Baby with three Soul hearts",Type: Passive,Item Pool: Item Room
ItemID: 162,Celtic Cross,"""You feel blessed""",Quality: 1,"Upon taking damage, you have a 20% chance to gain an invulnerability shield for 7 seconds",Type: Passive,"Item Pool: Item Room, Angel Room"
ItemID: 163,Ghost Baby,"""Spectral buddy""",Quality: 1,A familiar which follows Isaac and shoots spectral tears that deal 3.5 damage,"Type: Passive, Familiar","Item Pool: Item Room, Devil Room"
ItemID: 164,The Candle,"""Reusable flame""",Quality: 2,A spacebar item which allows Isaac to fire a blue flame that damages anything in its path for 23 damage per tick,Type: Active,Item Pool: Shop
ItemID: 165,Cat-O-Nine-Tails,"""Shot speed up + DMG up""",Quality: 3,+1.0 Damage Up,Type: Passive,Item Pool: Boss Room
ItemID: 166,D20,"""Reroll the basics""",Quality: 2,"Upon use, re-rolls all pickup consumables in the current room into another random kind of pickup",Type: Active,Item Pool: Item Room
ItemID: 167,Harlequin Baby,"""Double shot buddy""",Quality: 1,A familiar which follows Isaac and shoots two normal tears at once in a V-shaped pattern,"Type: Passive, Familiar",Item Pool: Item Room
ItemID: 168,Epic Fetus,"""On-demand air strike""",Quality: 4,Tears now become missiles which deal huge damage to anything nearby,"Type: Passive, Tear Modifier",Item Pool: Secret Room
ItemID: 169,Polyphemus,"""Mega tears""",Quality: 4,High Damage Up - (damage + 4) * 2,Type: Passive,Item Pool: Item Room
ItemID: 170,Daddy Longlegs,"""Daddy's love""",Quality: 3,"A shadow follows Isaac and stomps on enemies randomly, dealing 40 damage per stomp (2 damage ticks at 20 damage each)","Type: Passive, Familiar",Item Pool: Item Room
